,Survived,Pclass,SibSp,Parch,Fare,sex,Age,Embarked
0,0,3,1,0,7.25,0,22.0,0
1,1,1,1,0,71.2833,1,38.0,1
2,1,3,0,0,7.925,1,26.0,0
3,1,1,1,0,53.1,1,35.0,0
4,0,3,0,0,8.05,0,35.0,0
5,0,3,0,0,8.4583,0,28.0,2
6,0,1,0,0,51.8625,0,54.0,0
7,0,3,3,1,21.075,0,2.0,0
8,1,3,0,2,11.1333,1,27.0,0
9,1,2,1,0,30.0708,1,14.0,1
10,1,3,1,1,16.7,1,4.0,0
11,1,1,0,0,26.55,1,58.0,0
12,0,3,0,0,8.05,0,20.0,0
13,0,3,1,5,31.275,0,39.0,0
14,0,3,0,0,7.8542,1,14.0,0
15,1,2,0,0,16.0,1,55.0,0
16,0,3,4,1,29.125,0,2.0,2
17,1,2,0,0,13.0,0,28.0,0
18,0,3,1,0,18.0,1,31.0,0
19,1,3,0,0,7.225,1,28.0,1
20,0,2,0,0,26.0,0,35.0,0
21,1,2,0,0,13.0,0,34.0,0
22,1,3,0,0,8.0292,1,15.0,2
23,1,1,0,0,35.5,0,28.0,0
24,0,3,3,1,21.075,1,8.0,0
25,1,3,1,5,31.3875,1,38.0,0
26,0,3,0,0,7.225,0,28.0,1
27,0,1,3,2,263.0,0,19.0,0
28,1,3,0,0,7.8792,1,28.0,2
29,0,3,0,0,7.8958,0,28.0,0
30,0,1,0,0,27.7208,0,40.0,1
31,1,1,1,0,146.5208,1,28.0,1
32,1,3,0,0,7.75,1,28.0,2
33,0,2,0,0,10.5,0,66.0,0
34,0,1,1,0,82.1708,0,28.0,1
35,0,1,1,0,52.0,0,42.0,0
36,1,3,0,0,7.2292,0,28.0,1
37,0,3,0,0,8.05,0,21.0,0
38,0,3,2,0,18.0,1,18.0,0
39,1,3,1,0,11.2417,1,14.0,1
40,0,3,1,0,9.475,1,40.0,0
41,0,2,1,0,21.0,1,27.0,0
42,0,3,0,0,7.8958,0,28.0,1
43,1,2,1,2,41.5792,1,3.0,1
44,1,3,0,0,7.8792,1,19.0,2
45,0,3,0,0,8.05,0,28.0,0
46,0,3,1,0,15.5,0,28.0,2
47,1,3,0,0,7.75,1,28.0,2
48,0,3,2,0,21.6792,0,28.0,1
49,0,3,1,0,17.8,1,18.0,0
50,0,3,4,1,39.6875,0,7.0,0
51,0,3,0,0,7.8,0,21.0,0
52,1,1,1,0,76.7292,1,49.0,1
53,1,2,1,0,26.0,1,29.0,0
54,0,1,0,1,61.9792,0,65.0,1
55,1,1,0,0,35.5,0,28.0,0
56,1,2,0,0,10.5,1,21.0,0
57,0,3,0,0,7.2292,0,28.5,1
58,1,2,1,2,27.75,1,5.0,0
59,0,3,5,2,46.9,0,11.0,0
60,0,3,0,0,7.2292,0,22.0,1
61,1,1,0,0,80.0,1,38.0,0
62,0,1,1,0,83.475,0,45.0,0
63,0,3,3,2,27.9,0,4.0,0
64,0,1,0,0,27.7208,0,28.0,1
65,1,3,1,1,15.2458,0,28.0,1
66,1,2,0,0,10.5,1,29.0,0
67,0,3,0,0,8.1583,0,19.0,0
68,1,3,4,2,7.925,1,17.0,0
69,0,3,2,0,8.6625,0,26.0,0
70,0,2,0,0,10.5,0,32.0,0
71,0,3,5,2,46.9,1,16.0,0
72,0,2,0,0,73.5,0,21.0,0
73,0,3,1,0,14.4542,0,26.0,1
74,1,3,0,0,56.4958,0,32.0,0
75,0,3,0,0,7.65,0,25.0,0
76,0,3,0,0,7.8958,0,28.0,0
